cve_id,severity,package_name,installed_version,fixed_version,status
CVE-2026-42766,MEDIUM,openssl,1.0.2k,1:1.0.2k-24.amzn2.0.21,ACTIVE
CVE-2026-42766,MEDIUM,openssl-libs,1.0.2k,1:1.0.2k-24.amzn2.0.21,ACTIVE
CVE-2026-43281,MEDIUM,kernel,5.10.248,0:5.10.258-257.1041.amzn2,ACTIVE
CVE-2026-43132,MEDIUM,kernel,5.10.248,0:5.10.252-250.992.amzn2,ACTIVE
CVE-2026-32282,LOW,containerd,2.1.5,0:2.1.7-1.amzn2.0.1,ACTIVE
CVE-2026-32282,LOW,docker,25.0.14,0:25.0.14-1.amzn2.0.4,ACTIVE
CVE-2026-32282,LOW,runc,1.3.4,0:1.3.4-4.amzn2,ACTIVE
CVE-2026-64373,MEDIUM,kernel,5.10.248,0:5.10.262-262.1063.amzn2,ACTIVE
CVE-2026-64546,MEDIUM,kernel,5.10.248,0:5.10.262-262.1063.amzn2,ACTIVE
CVE-2026-64296,HIGH,kernel,5.10.248,0:5.10.262-262.1063.amzn2,ACTIVE
CVE-2026-52958,MEDIUM,kernel,5.10.248,0:5.10.258-257.1041.amzn2,ACTIVE
CVE-2026-43268,MEDIUM,kernel,5.10.248,0:5.10.252-250.992.amzn2,ACTIVE
CVE-2026-43180,MEDIUM,kernel,5.10.248,0:5.10.252-250.992.amzn2,ACTIVE
CVE-2026-9076,LOW,openssl,1.0.2k,1:1.0.2k-24.amzn2.0.21,ACTIVE
CVE-2026-9076,LOW,openssl-libs,1.0.2k,1:1.0.2k-24.amzn2.0.21,ACTIVE
CVE-2026-31427,MEDIUM,kernel,5.10.248,0:5.10.253-252.1015.amzn2,ACTIVE
CVE-2026-46191,MEDIUM,kernel,5.10.248,0:5.10.259-258.1043.amzn2,ACTIVE
CVE-2026-14474,HIGH,libsss_idmap,1.16.5,0:1.16.5-12.amzn2.15,ACTIVE
CVE-2026-14474,HIGH,libsss_nss_idmap,1.16.5,0:1.16.5-12.amzn2.15,ACTIVE
CVE-2026-14474,HIGH,sssd-client,1.16.5,0:1.16.5-12.amzn2.15,ACTIVE
CVE-2026-23277,MEDIUM,kernel,5.10.248,0:5.10.253-252.1015.amzn2,ACTIVE
CVE-2026-39825,MEDIUM,containerd,2.1.5,0:2.1.7-1.amzn2.0.2,ACTIVE
CVE-2026-39825,MEDIUM,docker,25.0.14,0:25.0.14-1.amzn2.0.6,ACTIVE
CVE-2026-39825,MEDIUM,runc,1.3.4,0:1.3.4-5.amzn2,ACTIVE
CVE-2026-31684,MEDIUM,kernel,5.10.248,0:5.10.258-257.1041.amzn2,ACTIVE
CVE-2026-64009,HIGH,kernel,5.10.248,0:5.10.259-258.1043.amzn2,ACTIVE
CVE-2026-31694,HIGH,kernel,5.10.248,0:5.10.257-254.1015.amzn2,ACTIVE
CVE-2026-39882,MEDIUM,containerd,2.1.5,0:2.1.7-1.amzn2.0.1,ACTIVE
CVE-2026-39882,MEDIUM,docker,25.0.14,0:25.0.14-1.amzn2.0.5,ACTIVE
CVE-2026-53489,MEDIUM,containerd,2.1.5,0:2.1.7-1.amzn2.0.5,ACTIVE
CVE-2026-63902,LOW,kernel,5.10.248,0:5.10.259-258.1043.amzn2,ACTIVE
CVE-2026-43085,LOW,kernel,5.10.248,0:5.10.258-257.1041.amzn2,ACTIVE
CVE-2026-53266,MEDIUM,kernel,5.10.248,0:5.10.259-258.1043.amzn2,ACTIVE
CVE-2026-52910,HIGH,kernel,5.10.248,0:5.10.259-258.1043.amzn2,ACTIVE
CVE-2026-43428,MEDIUM,kernel,5.10.248,0:5.10.253-252.1015.amzn2,ACTIVE
CVE-2026-31447,MEDIUM,kernel,5.10.248,0:5.10.253-252.1015.amzn2,ACTIVE
CVE-2026-43493,MEDIUM,kernel,5.10.248,0:5.10.258-257.1041.amzn2,ACTIVE
CVE-2025-13462,LOW,python,2.7.18,0:2.7.18-1.amzn2.0.18,ACTIVE
CVE-2025-13462,LOW,python-devel,2.7.18,0:2.7.18-1.amzn2.0.18,ACTIVE
CVE-2025-13462,LOW,python-libs,2.7.18,0:2.7.18-1.amzn2.0.18,ACTIVE
CVE-2025-13462,LOW,python3,3.7.16,0:3.7.16-1.amzn2.0.25,ACTIVE
CVE-2025-13462,LOW,python3-libs,3.7.16,0:3.7.16-1.amzn2.0.25,ACTIVE
CVE-2026-53047,MEDIUM,kernel,5.10.248,0:5.10.258-257.1041.amzn2,ACTIVE
CVE-2026-31665,HIGH,kernel,5.10.248,0:5.10.253-252.1015.amzn2,ACTIVE
CVE-2026-15308,MEDIUM,python,2.7.18,0:2.7.18-1.amzn2.0.22,ACTIVE
CVE-2026-15308,MEDIUM,python-devel,2.7.18,0:2.7.18-1.amzn2.0.22,ACTIVE
CVE-2026-15308,MEDIUM,python-libs,2.7.18,0:2.7.18-1.amzn2.0.22,ACTIVE
CVE-2026-15308,MEDIUM,python3,3.7.16,0:3.7.16-1.amzn2.0.29,ACTIVE
CVE-2026-15308,MEDIUM,python3-libs,3.7.16,0:3.7.16-1.amzn2.0.29,ACTIVE
CVE-2026-23312,MEDIUM,kernel,5.10.248,0:5.10.253-252.1015.amzn2,ACTIVE
